Année,Secteurs géographiques,Numéro du quartier,Nom du quartier,Nombre de pièces principales,Epoque de construction,Type de location,Loyers de référence,Loyers de référence majorés,Loyers de référence minorés,Ville,Numéro INSEE du quartier
2023,2,34,Chaussée-d'Antin,3,Avant 1946,non meublé,27.9,33.5,19.5,PARIS,7510934
2025,7,59,Grenelle,2,1946-1970,meublé,29.3,35.2,20.5,PARIS,7511559
2023,4,7,Mail,3,1971-1990,meublé,28.6,34.3,20.0,PARIS,7510207
2021,2,3,Palais-Royal,3,Apres 1990,non meublé,24.8,29.76,17.36,PARIS,7510103
2020,2,34,Chaussée-d'Antin,4,Avant 1946,non meublé,25.6,30.72,17.92,PARIS,7510934
2020,1,27,Ecole-Militaire,4,Apres 1990,meublé,33.8,40.56,23.66,PARIS,7510727
2022,2,15,Arsenal,3,1971-1990,meublé,26.2,31.44,18.34,PARIS,7510415
2024,4,7,Mail,4,Apres 1990,meublé,28.6,34.3,20.0,PARIS,7510207
2019,2,31,Madeleine,2,1971-1990,meublé,28.4,34.1,19.9,PARIS,7510831
2022,4,17,Saint-Victor,1,Avant 1946,meublé,36.0,43.2,25.2,PARIS,7510517
2024,10,67,Batignolles,3,Avant 1946,non meublé,25.0,30.0,17.5,PARIS,7511767
2022,6,58,Necker,2,1971-1990,meublé,29.4,35.28,20.58,PARIS,7511558
2024,2,1,St-Germain-l'Auxerrois,1,Avant 1946,non meublé,34.0,40.8,23.8,PARIS,7510101
2023,1,25,Saint-Thomas-d'Aquin,2,Avant 1946,meublé,32.9,39.5,23.0,PARIS,7510725
2025,4,9,Arts-et-Metiers,2,Apres 1990,meublé,28.4,34.1,19.9,PARIS,7510309
2021,4,17,Saint-Victor,3,Avant 1946,non meublé,25.3,30.36,17.71,PARIS,7510517
2021,11,71,Goutte-d'Or,1,Apres 1990,non meublé,24.3,29.16,17.01,PARIS,7511871
2021,5,2,Halles,4,1946-1970,non meublé,21.4,25.68,14.98,PARIS,7510102
2021,5,37,Saint-Vincent-de-Paul,4,Apres 1990,meublé,24.3,29.16,17.01,PARIS,7511037
2019,4,7,Mail,4,Apres 1990,meublé,27.5,33.0,19.3,PARIS,7510207
2024,10,67,Batignolles,1,Apres 1990,non meublé,29.2,35.0,20.4,PARIS,7511767
2025,2,1,St-Germain-l'Auxerrois,2,1946-1970,non meublé,28.5,34.2,20.0,PARIS,7510101
2023,10,67,Batignolles,2,Avant 1946,meublé,29.0,34.8,20.3,PARIS,7511767
2023,3,64,Chaillot,2,1971-1990,non meublé,27.4,32.9,19.2,PARIS,7511664
2023,2,15,Arsenal,3,1946-1970,non meublé,22.4,26.9,15.7,PARIS,7510415
2024,4,14,Saint-Gervais,1,1971-1990,non meublé,31.2,37.4,21.8,PARIS,7510414
2024,11,48,Quinze-Vingts,2,1946-1970,meublé,28.0,33.6,19.6,PARIS,7511248
2020,9,69,Grandes-Carrières,4,Avant 1946,meublé,23.6,28.32,16.52,PARIS,7511869
2023,6,66,Plaine de Monceaux,3,1971-1990,meublé,27.3,32.8,19.1,PARIS,7511766
2020,1,28,Gros-Caillou,4,Avant 1946,non meublé,28.2,33.84,19.74,PARIS,7510728
2022,9,46,Picpus,3,1946-1970,meublé,20.3,24.36,14.21,PARIS,7511246
2019,4,14,Saint-Gervais,3,Avant 1946,meublé,27.8,33.4,19.5,PARIS,7510414
2021,7,61,Auteuil,4,1971-1990,meublé,24.3,29.16,17.01,PARIS,7511661
2021,2,21,Monnaie,3,1946-1970,meublé,24.8,29.76,17.36,PARIS,7510621
2023,14,79,Père-Lachaise,1,Apres 1990,meublé,28.9,34.7,20.2,PARIS,7512079
2019,11,39,Porte-Saint-Martin,3,Avant 1946,non meublé,22.6,27.1,15.8,PARIS,7511039
2025,3,63,Porte-Dauphine,3,Apres 1990,non meublé,26.9,32.3,18.8,PARIS,7511663
2023,2,21,Monnaie,3,1971-1990,non meublé,23.5,28.2,16.5,PARIS,7510621
